rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
11,1324-NLTJE,0.919,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,55.0,757.1,Month-to-month,DSL,Credit card (automatic),Female,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；流失概率极高，需立即挽留,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"挽留方案：
一、核心流失原因分析：
1. 累计消费金额：757.1元，客户消费金额较高，但未感受到足够的增值或服务，导致潜在流失。
2. 在网时长：1个月，客户为月付客户，续费压力大，可能因成本敏感而选择离网。
3. 在线安全服务偏高：客户可能对在线安全服务不满意，且价格过高，导致客户满意度下降。"
12,6980-CDGFC,0.917,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,67,20.85,1327.4,One year,No,Bank transfer (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留,年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留,"###挽留方案：客户IDID-CDGFC
一、核心流失原因分析：
1. 吥一年合同即将到期，客户可能有可能续约意愿不强。
5. 累计消费金额相对较低，客户对感知不到高明显的价值。
4. 在网的长在网，对对客户可能已熟悉现有套餐和服务，缺乏新体验和新功能。
5. � pérdida在网服务类型（偏高）影响可能导致客户觉得现有服务不再能满足需求。
4. 月消费金额与当前套餐接近，客户可能对已不强感知到到服务价值。
4. 月客户支付方式为自动扣款，客户可能已不重视账单。
4. 月客户在网时长与合同周期相匹配，客户可能已在考虑是否继续使用现有网络服务。
4. 月客户当前套餐功能可能已无法满足客户新的通信需求。
4. 月消费金额与当前套餐接近，客户可能已不重视服务价值。
4. 月消费金额与当前套餐接近，客户可能已不重视服务价值。
4. 月消费金额 with current plan package less price客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月客户在网时长 with current期间客户可能已不重视服务价值。
4. 月客户在网时间与合同周期相匹配客户可能已在考虑是否继续使用现有网络服务。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月客户在网期间可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月客户在网期间可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费金额 with current期间客户可能已不重视服务价值。
4. 月消费"
13,3415-TAILE,0.9163,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,65.7,134.35,Month-to-month,DSL,Mailed check,Female,月租费用中等偏高(¥66/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差,月租费用中等偏高(¥66/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差,"个性化挽留方案：
一、核心流失原因分析：
1. 合同类型：当前客户采取月付月合同，缺乏长期承诺，降低其长期使用的意愿。
* 月消费金额：月消费金额为65.7元，相对较低，客户可能认为自身价值未得到体现，从而产生流失意愿。
二、针对性挽留措施：
1. 按月消费金额制定个性性优惠方案，如每月消费金额降至60.7元，可赠送20%额外宽带速度，或降低其上网流量限制，提升客户感知；
* 尰长合同锁定：提供长期合同优惠方案，如12个月、12个月、10个月等不同期限的合同，每月消费金额分别降低至61.7元、60.7元、64.7元，，以期降低客户流失概率；
* 客户关系升级：由当前月付月合同升级为预付合同，通过转移消费至年初预付的形式，提高客户粘性，并提升其消费体验与感知价值；
* 服务优化：引入网络优化服务，对客户网络状况进行评估与优化，提高网络质量，降低客户因网络原因产生的流失意愿。
三、优先级建议：
三、优先级：按月消费金额制定个性化优惠方案>优先级：提供长期合同优惠方案>优先级：客户关系升级>优先级：服务优化
* 通过优先级逐步实施措施，能够提高挽留成功率，同时能够保证措施之间相互补充，有效提升客户粘性。"
14,4607-CHPCA,0.9148,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,90.4,2178.6,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥90/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥90/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"**挽留方案：客户IDID-CH-41-6 (ID6 ID: 4615-CH-4) 的个性化挽留措施
一、核心流失原因分析（：
1. 在网时长(月)：客户在网时超过2 年，，说明客户对对可能 to stay。长期服务未能带来满意体验，是客户流失的重要原因。
2. 合同类型：当前合同为一年期，，，未到期，但客户可能对对 urgency to move to a competitor,，。
4. 累计消费金额：累计消费金额为 69. 78.. 6. 6，，说明客户对 for high value value unsure about move yet，。
二二
二二
二
二
二二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
二
move
二
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move
move"
15,7402-PWYJJ,0.9129,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,53,91.15,4862.5,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥91/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥91/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"### 核心流失原因分析
1. **合同类型**：客户签订了为期一年的合约，即将到期，存在续约压力。
2. **技术支持服务费用较高**：客户享受的技术支持服务费用偏高，可能产生了额外的费用感知。
3. **在网时长较长**：客户在网时间较长（53个月），可能对当前服务感到满意但未有显著的升级或创新体验。
### 针对性挽留措施
1. **优惠续约激励**：提供为期一年的续约优惠套餐，如12个月的套餐费用减免5%。
2. **技术支持服务降费**：重新评估并调整客户的技术支持服务费用，降低其感知的负担。
3. **个性化服务体验**：提供一次免费的家庭网络检测及优化服务，提升客户的服务体验。
4. **定制化优惠活动**：为客户定制一次免费的网络设备检测和升级服务，确保其网络稳定性和速度。
5. **联系客服定期沟通**：定期通过电话或邮件与客户沟通，了解其使用情况，针对性解决其问题和需求。
### 优先级建议
三、**优惠续约激励**（最高优先级）：续约优惠最直接有效，能立即降低客户退网概率。
三、**技术支持服务降费**（中等优先级）：降低客户感知的费用负担，增强服务满意度。
三、**个性化服务体验**（中等优先级）：通过具体服务提升客户体验，增加其对现有服务的依赖。
4. **定制化优惠活动**（低优先级）：通过具体的服务提升客户满意度，但需要更多定制化操作。
5. **联系客服定期沟通**（低优先级）：维持沟通有助于长期维护客户关系，但需确保沟通的有效性。"
16,2868-MZAGQ,0.9126,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,79.25,79.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥79/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用中等偏高(¥79/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 个性化挽留方案
#### 核心流失原因分析
1. 合同类型：Month-to-month（60.6%）
2. 在网时长（月）：Z（38..4%）
#### 针对性挽留措施
1...1. 1.....1.%
1..Z.ZZ%
1.Z.Z
1ZZZZ
1Z.ZZ
ZZZ.Z
ZZZ.Z
ZZZ.Z
1.ZZ.Z
Z.ZZ.Z
Z.ZZ.Z
Z.ZZ.Z
1.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
1.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
1.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
ZZ.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z
ZZ.ZZ.Z
ZZ.ZZ.Z
zz.ZZ.Z
Z.ZZ.ZZ
ZZ.ZZ.Z"
17,0702-PGIBZ,0.9112,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,4,101.7,364.55,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥102/月)；在网时间较短(4个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥102/月)；在网时间较短(4个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 个性化挽留方案
#### 核心流失原因分析
1. 1. 合同类型：Month-to-month（贡献度: 60.6%）
2. 在网时长(月)：4（贡献度: 2.5.68%）
3. 月消费金额：11.7（贡献度: 5.05.9%）
#### 针对性挽留措施
user-ves"
18,1698-XFZCI,0.9103,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,61,107.75,6521.9,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥108/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥108/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"### 核心流失原因分析
1. **合同即将到期**：客户签订的是一年期合同，即将到期。
2. **高月消费金额**：虽然消费金额较高，但相比同类服务，仍有提升空间。
### 针对性挽留措施
1. **延长合约期限**：提供一个优惠方案，比如延长合同期限至两年，可减免部分费用或赠送额外服务。
2. **降低月消费金额**：考虑推出灵活套餐，将现有高月消费金额的套餐调整为更加灵活的月费或功能选择，以降低客户的感知成本。
3. **专属优惠和服务**：提供专属的网络优化服务、家庭安防监控等增值服务，增加客户的粘性。
4. **优惠续费优惠**：对于即将到期的客户，提供续费优惠，如减免部分费用或赠送一定时长的额外服务。
5. **个性化关怀**：安排专人进行一对一的关怀电话，了解客户的具体需求和不满之处，并提供个性化解决方案。
### 优先级建议
三、**优先级1（高）**：延长合约期限。合同即将到期是客户流失的主要原因之一，优先考虑提供延长合同期限的优惠方案。
三、**优先级2（中）**：降低月消费金额。通过提供更加灵活的套餐选择，降低客户感知成本，增强客户满意度。
三、**优先级3（中）**：专属优惠和服务。提供有针对性的优惠和服务，进一步强化客户黏性。
4. **优先级4（低）**：优惠续费优惠。在客户即将到期时提供续费优惠，避免客户流失。
5. **优先级5（低）**：个性化关怀。通过一对一关怀电话解决客户具体问题，增加客户满意度和忠诚度。
通过上述措施，可以有效提升客户的续约意愿和满意度，降低流失率。"
19,7815-PDTHL,0.9089,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,35,20.2,684.4,Two year,No,Mailed check,Male,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"###客户ID7. 7 7. 7  7. 7  5. 5  5. 7  5. 7  7. 5  7. 5  5. 5  7. 7  依 kukukukuku
###挽留方案：
一、核心流失原因分析（:
1. 1  1. 1  1. 1  5. 1  1. 3  1. 1  1. 1  4. 1  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4. 4  4."
20,4137-BTIKL,0.9087,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,90.75,174.75,Month-to-month,Fiber optic,Mailed check,Male,月租费用偏高(¥91/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥91/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"**挽留方案：**
**核心流失原因分析：**
1. 合同类型为 Month-to-month，增加了用户因价格或服务不满意度而流失的风险。
2. 月消费金额较低，使得用户对服务价格的敏感度较高。
**针对性挽留措施：**
三、**提供优惠合约方案**：建议提供为期6个月至12个月的合约优惠，包括但不限于套餐折扣、额外赠送流量或通话分钟数，同时确保该优惠方案不会导致月消费金额过低。
2. **加强在线安全服务宣传与价值解读**：针对客户在线安全服务“偏高”的情况，通过邮件或短信方式，详细解释该服务的使用场景和具体优势，强调其长期重要性，提高客户对该服务的认知和满意度。
3. **个性化营销**：结合该客户的消费记录，提供量身定制的服务或产品推荐，如高速宽带升级服务、家庭安防设备等，增加客户对电信服务的依赖度。
4. **立即执行一次“一对一”客户关怀计划**：安排资深客户经理通过电话或上门服务形式，向客户详细介绍当前的优惠方案及服务价值，倾听客户意见并及时解决其问题。
5. **提供短期网络使用保障**：若客户对网络服务质量有疑虑，可考虑提供短期内免费使用更高级别网络服务的试用期，帮助客户亲身体验。
**优先级建议：**
三、立即执行“一对一”客户关怀计划（优先级：1）以建立紧急联系，及时获取客户反馈。
三、提供优惠合约方案（优先级：2），直接降低客户流失成本。
三、加强在线安全服务宣传与价值解读（优先级：3），提升客户对现有服务的认知度。
4. 个性化营销（优先级：4）以满足客户的个性化需求，提高客户满意度。
5. 短期网络使用保障（优先级：5），针对网络质量疑虑客户提供实际体验，以增强客户信任感。
综上所述，针对客户4137-BTIKL的挽留策略将侧重于在短期内建立联系、提供实际优惠以及提升其对现有服务的认知度与满意度。"
