排名,客户ID,流失概率,风险等级,建议挽留措施,报告生成时间,主要风险因素,在网时长(月),月消费(元),累计消费(元),合同类型,网络服务,支付方式,性别,流失原因分析
11,1324-NLTJE,91.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,55.0,757.1,Month-to-month,DSL,Credit card (automatic),Female,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
12,6980-CDGFC,91.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,67,20.85,1327.4,One year,No,Bank transfer (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留
13,3415-TAILE,91.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,65.7,134.35,Month-to-month,DSL,Mailed check,Female,月租费用中等偏高(¥66/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差
14,4607-CHPCA,91.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,90.4,2178.6,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥90/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
15,7402-PWYJJ,91.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,53,91.15,4862.5,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥91/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
16,2868-MZAGQ,91.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,79.25,79.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥79/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
17,0702-PGIBZ,91.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,4,101.7,364.55,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥102/月)；在网时间较短(4个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
18,1698-XFZCI,91.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,61,107.75,6521.9,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥108/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
19,7815-PDTHL,90.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,35,20.2,684.4,Two year,No,Mailed check,Male,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
20,7205-BAIAD,90.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,40,20.6,827.3,Two year,No,Bank transfer (automatic),Female,无网络服务，增值业务少；流失概率极高，需立即挽留
21,4137-BTIKL,90.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,90.75,174.75,Month-to-month,Fiber optic,Mailed check,Male,月租费用偏高(¥91/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
22,1401-FTHFQ,90.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,23,20.0,445.3,One year,No,Credit card (automatic),Male,在网时间(23个月)，仍处于流失高风险期；年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留
23,1905-OEILC,90.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.5,19.5,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
24,2806-MLNTI,90.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,52,105.1,5376.4,One year,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；流失概率极高，需立即挽留
25,3315-TOTBP,90.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,76.0,1130.85,Month-to-month,Fiber optic,Mailed check,Male,月租费用中等偏高(¥76/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
26,7530-HDYDS,90.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,38,84.25,3264.5,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥84/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
27,5965-GGPRW,90.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,105.25,7609.75,Two year,Fiber optic,Bank transfer (automatic),Male,月租费用偏高(¥105/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
28,9962-BFPDU,90.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,20.05,20.05,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
29,8661-BOYNW,90.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,84.4,6096.45,Two year,DSL,Credit card (automatic),Female,月租费用偏高(¥84/月)；流失概率极高，需立即挽留
30,3489-VSFRD,90.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,56,60.25,3282.75,One year,DSL,Credit card (automatic),Female,月租费用中等偏高(¥60/月)；年付合同即将到期，需重点关注；流失概率极高，需立即挽留
31,3472-OAOOR,90.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,19,34.95,610.2,Month-to-month,DSL,Mailed check,Male,在网时间(19个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
32,0516-WJVXC,90.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,5,54.2,308.25,Month-to-month,DSL,Electronic check,Female,在网时间较短(5个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
33,1518-OMDIK,90.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,33,44.55,1462.6,Month-to-month,DSL,Credit card (automatic),Male,月付合同，转换成本低，易流失；流失概率极高，需立即挽留
34,1265-ZFOSD,89.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,64,81.3,5129.3,Two year,DSL,Mailed check,Female,月租费用偏高(¥81/月)；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
35,2293-IJWPS,89.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,57,100.75,5985.0,One year,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥101/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；流失概率极高，需立即挽留
36,9945-PSVIP,89.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,18.7,383.65,Two year,No,Mailed check,Female,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
37,8710-YGLWG,89.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,44.9,44.9,Month-to-month,DSL,Mailed check,Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
38,9507-EXLTT,89.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,79.35,79.35,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用中等偏高(¥79/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
39,1803-BGNBD,89.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,54.3,654.5,Month-to-month,DSL,Electronic check,Female,在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
40,4195-SMMNX,89.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,20.35,33.2,Month-to-month,No,Mailed check,Male,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
41,5693-PIPCS,89.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,41,99.65,4220.35,Two year,Fiber optic,Credit card (automatic),Male,月租费用偏高(¥100/月)；光纤用户对网络质量要求高；流失概率极高，需立即挽留
42,5334-JLAXU,88.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,60,94.1,5475.9,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥94/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
43,5562-BETPV,88.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.65,19.65,One year,No,Mailed check,Male,在网时间较短(1个月)，客户黏性不足；年付合同即将到期，需重点关注；无网络服务，增值业务少；邮寄支票支付，便捷性差
44,9874-QLCLH,88.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,17,104.2,1743.5,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥104/月)；在网时间(17个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
45,9103-CXVOK,88.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.75,19.75,Month-to-month,No,Electronic check,Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；电子支票支付，账单拖欠风险较高
46,4194-FJARJ,88.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,54,60.0,3273.95,Two year,DSL,Bank transfer (automatic),Female,流失概率极高，需立即挽留
47,0864-FVJNJ,88.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,64,113.35,7222.75,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥113/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
48,7294-TMAOP,88.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,90.55,90.55,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥91/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
49,4067-HLYQI,88.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,33,70.4,2406.1,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用中等偏高(¥70/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
50,3391-JSQEW,88.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,40,50.15,2058.5,Month-to-month,DSL,Mailed check,Male,月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
51,6762-QVYJO,88.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,58,59.75,3624.35,Two year,DSL,Mailed check,Female,邮寄支票支付，便捷性差；流失概率极高，需立即挽留
52,4981-FLTMF,88.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,57,65.2,3687.85,Month-to-month,DSL,Bank transfer (automatic),Female,月租费用中等偏高(¥65/月)；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
53,4183-MYFRB,87.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,21,90.05,1862.9,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥90/月)；在网时间(21个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
54,8064-RAVOH,87.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,49.85,49.85,Month-to-month,DSL,Electronic check,Male,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
55,7554-AKDQF,87.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,6,45.65,323.45,Month-to-month,DSL,Mailed check,Female,在网时间较短(6个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
56,0584-BJQGZ,87.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,78.35,1837.9,Month-to-month,DSL,Bank transfer (automatic),Female,月租费用中等偏高(¥78/月)；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
57,5302-BDJNT,87.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,35,95.5,3418.2,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥96/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
58,9094-AZPHK,87.2%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,100.15,1415.0,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥100/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
59,6538-POCHL,87.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,33,79.0,2576.8,Month-to-month,Fiber optic,Credit card (automatic),Male,月租费用中等偏高(¥79/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；流失概率极高，需立即挽留
60,9282-IZGQK,87.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,85.0,85.0,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥85/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
61,0135-NMXAP,86.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,89.75,1052.4,Month-to-month,Fiber optic,Bank transfer (automatic),Female,月租费用偏高(¥90/月)；在网时间(12个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
62,9281-OFDMF,86.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,39,90.7,3413.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥91/月)；月付合同，转换成本低，易流失；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
63,9548-LERKT,86.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,24,19.75,483.15,Two year,No,Mailed check,Male,无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
64,1640-PLFMP,86.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,70.25,70.25,Month-to-month,Fiber optic,Electronic check,Female,月租费用中等偏高(¥70/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
65,1522-VVDMG,86.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,7,89.75,608.8,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥90/月)；在网时间较短(7个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
66,4967-WPNCF,86.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,63.7,4464.8,Two year,DSL,Bank transfer (automatic),Male,月租费用中等偏高(¥64/月)；流失概率极高，需立即挽留
67,4193-ORFCL,86.4%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 15:15:38,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,45.1,45.1,Month-to-month,DSL,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
